Country;Longitude;Latitude
<null>;0;0
<null>;0;0
Canada;-73.5728;45.50283
<null>;0;0
<null>;0;0
Germany;13.188238;48.633738
Italy;12.646361;42.504154
United States;-75.783277;39.824779
<null>;0;0
Germany;10.018343;51.133481
Greece;23.828554;38.589021
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
France;2.348392;48.853495
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Malaysia;101.694237;3.151696
<null>;0;0
<null>;0;0
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
United Kingdom;1.15469;52.05716
<null>;0;0
Germany;9.17742;48.77353
<null>;0;0
Argentina;-58.837837;-27.465242
<null>;0;0
<null>;0;0
Italy;12.476713;41.899986
<null>;0;0
<null>;0;0
<null>;0;0
Austria;14.300144;47.607798
<null>;0;0
China;101.901875;35.486703
<null>;0;0
Germany;10.018343;51.133481
France;3.063554;50.6363
Ireland;-7.737649;53.305494
United States;-82.457098;27.947974
<null>;0;0
Germany;10.018343;51.133481
Singapore;103.808053;1.351616
Greece;21.787115;40.301846
<null>;0;0
Germany;9.73597;52.374283
<null>;0;0
<null>;0;0
Ukraine;31.320283;49.322794
<null>;0;0
Italy;12.476713;41.899986
<null>;0;0
United Kingdom;-2.597298;51.453802
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
United States;-119.98382;38.934497
United Kingdom;-3.176615;58.919014
Germany;9.401413;53.109856
United States;-122.330286;47.603243
Germany;10.018343;51.133481
Poland;19.300636;52.12461
Hungary;19.040359;47.497994
<null>;0;0
<null>;0;0
Netherlands;5.613491;51.972466
<null>;0;0
Singapore;103.808053;1.351616
Australia;115.85805;-31.951263
<null>;0;0
Russia;39.74087;54.629272
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Australia;153.0277;-27.469099
United Kingdom;-1.316242;51.063354
<null>;0;0
<null>;0;0
Canada;-105.750596;55.585901
Belgium;5.084388;51.267586
Sweden;18.06902;59.324337
Germany;9.950353;52.153038
<null>;0;0
Spain;-4.055685;41.294856
<null>;0;0
<null>;0;0
<null>;0;0
Austria;16.372504;48.208354
<null>;0;0
Germany;12.925473;50.832151
Japan;138.59223;36.386493
<null>;0;0
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
United States;-84.389855;33.750801
<null>;0;0
<null>;0;0
<null>;0;0
France;7.750713;48.584614
Germany;10.897016;48.367977
Netherlands;5.613491;51.972466
<null>;0;0
Netherlands;5.613491;51.972466
<null>;0;0
Germany;10.018343;51.133481
Germany;13.38886;52.517037
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
Belgium;5.337804;50.930374
Netherlands;5.613491;51.972466
Germany;11.077667;49.45418
Sweden;13.210142;55.643497
Portugal;-8.611286;41.14789
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Canada;-79.38355;43.647938
United States;-94.199117;46.343406
Switzerland;8.541042;47.374449
<null>;0;0
Hungary;19.499349;47.060267
Hungary;19.040359;47.497994
<null>;0;0
Poland;18.650743;54.350178
<null>;0;0
<null>;0;0
<null>;0;0
Germany;8.241656;50.082038
<null>;0;0
Portugal;-8.611286;41.14789
<null>;0;0
<null>;0;0
United Kingdom;-2.245115;53.479489
<null>;0;0
<null>;0;0
Cyprus;33.032833;34.68534
Germany;9.993669;48.39908
Hungary;21.096378;46.67905
Germany;13.38886;52.517037
Australia;149.11526;-35.283623
<null>;0;0
Hungary;19.040359;47.497994
Germany;8.216303;53.137445
<null>;0;0
<null>;0;0
Germany;10.018343;51.133481
Venezuela;-65.801997;7.61957
<null>;0;0
Hungary;19.040359;47.497994
Uruguay;-56.20423;-34.906334
Israel;34.841999;31.847261
Germany;8.467922;49.4871
Spain;-4.055685;41.294856
France;2.618787;47.824905
Netherlands;4.48697;52.157571
<null>;0;0
Germany;8.254224;49.152145
Lithuania;23.931538;55.487413
<null>;0;0
Greece;23.729275;37.97757
Germany;9.495606;51.314472
Austria;16.372504;48.208354
Ireland;-7.737649;53.305494
<null>;0;0
Germany;9.211566;48.492226
<null>;0;0
France;2.618787;47.824905
Germany;10.018343;51.133481
Germany;10.018343;51.133481
France;2.348392;48.853495
Slovakia;17.585737;48.377148
Germany;8.683012;50.110596
<null>;0;0
Australia;134.489563;-25.734968
United States;-74.005994;40.712749
Czech Republic;15.338412;49.742859
<null>;0;0
Italy;12.646361;42.504154
<null>;0;0
<null>;0;0
Switzerland;8.541096;47.369733
France;2.618787;47.824905
Austria;16.372504;48.208354
<null>;0;0
Austria;16.372504;48.208354
Austria;16.372504;48.208354
Austria;16.372504;48.208354
India;74.054111;15.325556
Switzerland;8.541096;47.369733
Mexico;-86.85176;21.16188
United Kingdom;-2.36967;54.237933
Switzerland;8.234392;46.802496
Switzerland;8.541096;47.369733
India;78.476681;22.199166
<null>;0;0
<null>;0;0
Ireland;-6.260296;53.349801
<null>;0;0
Austria;16.372504;48.208354
India;78.476681;22.199166
India;77.67368;12.99879
South Africa;18.420296;-33.922497
Canada;-114.47099;51.190628
Austria;16.372504;48.208354
Serbia;19.845444;45.25558
India;88.26513;27.041847
<null>;0;0
<null>;0;0
Italy;9.188558;45.463945
India;77.67368;12.99879
United States;-93.266096;44.976106
<null>;0;0
<null>;0;0
<null>;0;0
Ukraine;24.554663;48.45059
<null>;0;0
<null>;0;0
Switzerland;8.541096;47.369733
Portugal;-8.562731;39.600995
Australia;144.96333;-37.814198
Austria;16.372504;48.208354
Spain;2.16538;41.38723
United States;-122.330286;47.603243
<null>;0;0
<null>;0;0
Australia;151.20695;-33.86873
<null>;0;0
France;2.348392;48.853495
Austria;16.372504;48.208354
<null>;0;0
United Kingdom;-0.127647;51.5073
<null>;0;0
<null>;0;0
India;77.591301;12.979101
France;-0.570681;44.840115
United States;-147.718082;64.836325
Italy;12.646361;42.504154
<null>;0;0
United Kingdom;-0.127647;51.5073
United States;-122.678367;45.515197
<null>;0;0
Romania;23.589823;46.770878
Canada;-71.20278;46.812187
Mexico;-102.532867;23.950464
South Africa;23.913711;-28.378272
United States;-97.922211;39.381266
Japan;139.692526;35.68882
<null>;0;0
Argentina;-63.954193;-36.252002
India;79.0821;21.1498
Germany;10.000654;53.550341
United States;-118.254187;34.048051
Greece;23.729275;37.97757
Austria;14.300144;47.607798
<null>;0;0
India;72.58957;23.024553
United States;-94.199117;46.343406
United States;-97.922211;39.381266
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Pakistan;67.02053;24.855368
Israel;34.7819;32.08532
United States;-122.330286;47.603243
India;77.20877;28.613928
Japan;138.59223;36.386493
<null>;0;0
United States;-86.16166;39.768602
<null>;0;0
<null>;0;0
<null>;0;0
India;77.591301;12.979101
United States;-74.005994;40.712749
Belgium;4.633575;50.438696
Spain;-3.701219;40.421345
<null>;0;0
<null>;0;0
United States;-118.254187;34.048051
Romania;26.10272;44.436141
Belgium;4.35121;50.8551
United States;-97.922211;39.381266
<null>;0;0
<null>;0;0
Czech Republic;14.422954;50.08584
Italy;9.188558;45.463945
United States;-71.190688;41.964587
<null>;0;0
Ukraine;31.320283;49.322794
United States;-74.005994;40.712749
United States;-122.419359;37.779238
France;2.348392;48.853495
<null>;0;0
<null>;0;0
Romania;21.93059;47.055992
United States;-97.922211;39.381266
Italy;11.256129;43.771484
United States;-86.809079;33.522217
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Spain;-3.701219;40.421345
Romania;23.589823;46.770878
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
United States;-75.392787;39.919326
Ireland;-6.260296;53.349801
United States;-122.330286;47.603243
United States;-122.419359;37.779238
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Romania;27.583376;47.161655
Spain;2.16538;41.38723
Japan;139.692526;35.68882
<null>;0;0
Ukraine;31.320283;49.322794
<null>;0;0
<null>;0;0
Japan;139.692526;35.68882
Poland;19.300636;52.12461
<null>;0;0
United Kingdom;-0.127647;51.5073
United States;-82.711449;40.41742
United Kingdom;-2.36967;54.237933
United States;-93.266096;44.976106
Germany;10.000654;53.550341
United States;-79.996754;40.439375
<null>;0;0
United States;-122.419359;37.779238
<null>;0;0
United Kingdom;-0.140374;50.821026
Austria;16.372504;48.208354
<null>;0;0
Japan;139.692526;35.68882
Czech Republic;14.422954;50.08584
South Africa;28.042114;-26.204678
<null>;0;0
France;2.288381;48.889904
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
United States;-82.399498;34.849611
Spain;-3.701219;40.421345
Canada;-73.5728;45.50283
Brazil;-48.847977;-26.301477
Netherlands;5.613491;51.972466
United States;-122.419359;37.779238
<null>;0;0
United States;-93.266096;44.976106
United Kingdom;-0.127647;51.5073
United States;-71.056804;42.35888
<null>;0;0
<null>;0;0
New Zealand;171.7799;-41.838875
Sweden;17.638515;59.858757
Sweden;18.06902;59.324337
United States;-82.399498;34.849611
<null>;0;0
<null>;0;0
Austria;14.300144;47.607798
Poland;19.300636;52.12461
<null>;0;0
Italy;12.646361;42.504154
United States;-82.32501;29.651949
United Kingdom;-0.127647;51.5073
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
South Africa;18.420296;-33.922497
<null>;0;0
Poland;19.937975;50.062325
United States;-118.254187;34.048051
Czech Republic;18.140682;49.880558
<null>;0;0
<null>;0;0
United States;-75.166853;39.952756
Spain;-3.701219;40.421345
United States;-122.330286;47.603243
Germany;10.000654;53.550341
<null>;0;0
United States;-78.917966;40.325182
United Kingdom;-1.902691;52.479699
United States;-86.781073;36.164518
Australia;151.20695;-33.86873
<null>;0;0
Spain;-3.701219;40.421345
Germany;10.000654;53.550341
United States;-91.497655;44.810641
United Kingdom;-0.127647;51.5073
United Kingdom;-2.245115;53.479489
South Korea;126.978291;37.566679
Ecuador;-78.432915;-1.160171
Australia;151.20695;-33.86873
United States;-82.399498;34.849611
United Kingdom;-2.36967;54.237933
<null>;0;0
Germany;13.38886;52.517037
Germany;13.38886;52.517037
Sweden;13.001223;55.60456
France;0.567093;43.08572
Ukraine;30.524136;50.450034
China;116.391276;39.906217
India;76.080523;11.042905
<null>;0;0
<null>;0;0
United States;-74.005994;40.712749
United States;-118.254187;34.048051
Canada;-73.5728;45.50283
<null>;0;0
Germany;11.575968;48.136973
<null>;0;0
<null>;0;0
Brazil;-46.647198;-23.55214
<null>;0;0
India;77.32575;28.571075
France;2.348392;48.853495
United Kingdom;-2.597298;51.453802
New Zealand;173.28387;-41.2743
United Kingdom;-0.127647;51.5073
<null>;0;0
Portugal;-8.611286;41.14789
United States;-74.005994;40.712749
<null>;0;0
United Kingdom;-0.127647;51.5073
Portugal;-9.14305;38.7173
Australia;144.96333;-37.814198
France;2.348392;48.853495
<null>;0;0
<null>;0;0
United States;-122.330286;47.603243
United States;-90.19835;38.627464
Canada;-73.5728;45.50283
Brazil;-46.647198;-23.55214
Israel;34.841999;31.847261
United States;-87.682554;39.610399
<null>;0;0
Netherlands;4.9;52.378
United Kingdom;-2.245115;53.479489
United Kingdom;-2.36967;54.237933
United States;-122.3939;37.7952
<null>;0;0
Estonia;24.746462;59.436745
United Kingdom;-0.127647;51.5073
Poland;21.016317;52.23072
Japan;138.59223;36.386493
United Kingdom;-0.127647;51.5073
United States;-122.678367;45.515197
<null>;0;0
<null>;0;0
United States;-73.8283;40.7135
Denmark;12.569734;55.675313
Japan;139.692526;35.68882
Germany;13.38886;52.517037
Australia;144.96333;-37.814198
United States;-84.513301;39.102438
United States;-75.166853;39.952756
<null>;0;0
Switzerland;8.541096;47.369733
Canada;-105.750596;55.585901
United States;-74.005994;40.712749
United States;-78.477477;38.030395
Australia;115.85805;-31.951263
Netherlands;5.613491;51.972466
<null>;0;0
<null>;0;0
India;78.476681;22.199166
<null>;0;0
India;88.35465;22.556843
<null>;0;0
<null>;0;0
India;77.591301;12.979101
Japan;138.59223;36.386493
India;73.869256;18.494486
United Kingdom;-0.127647;51.5073
<null>;0;0
United States;-91.533128;41.659076
United Kingdom;-0.127647;51.5073
United States;-122.028784;37.3773
United States;-118.254187;34.048051
United Kingdom;-0.127647;51.5073
Spain;2.16538;41.38723
Brazil;-46.647198;-23.55214
<null>;0;0
United States;-77.434646;37.535871
United States;-116.202327;43.615045
<null>;0;0
South Africa;28.151636;-26.117004
Germany;13.38886;52.517037
United Kingdom;-2.36967;54.237933
Ethiopia;38.761253;9.010793
<null>;0;0
Australia;151.20695;-33.86873
<null>;0;0
<null>;0;0
<null>;0;0
United States;-94.626816;39.113629
<null>;0;0
Switzerland;8.234392;46.802496
Canada;-123.11498;49.260975
<null>;0;0
<null>;0;0
Brazil;-46.584849;-23.59156
Australia;151.20695;-33.86873
Japan;139.692526;35.68882
United Kingdom;-0.127647;51.5073
<null>;0;0
<null>;0;0
United States;-122.330286;47.603243
United States;-97.922211;39.381266
United States;-122.330286;47.603243
United States;-122.27058;37.805306
Australia;151.20695;-33.86873
Ukraine;30.524136;50.450034
United Arab Emirates;54.256172;23.85206
Canada;-114.067955;51.0457
United Kingdom;-1.081793;53.959526
United States;-118.254187;34.048051
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
France;2.348392;48.853495
Germany;13.38886;52.517037
United Kingdom;-0.127647;51.5073
Netherlands;4.9;52.378
<null>;0;0
<null>;0;0
Sweden;17.675409;64.964875
Canada;-123.11498;49.260975
<null>;0;0
Germany;11.575968;48.136973
<null>;0;0
Germany;10.018343;51.133481
Portugal;-9.14305;38.7173
<null>;0;0
Canada;-97.138596;49.89558
United Kingdom;-0.127647;51.5073
Israel;34.7819;32.08532
<null>;0;0
Spain;2.16538;41.38723
United States;-87.906548;43.038772
Ireland;-8.465467;51.897077
Slovakia;17.108387;48.1438
Germany;10.018343;51.133481
Germany;10.000654;53.550341
<null>;0;0
<null>;0;0
Germany;13.38886;52.517037
Pakistan;74.31418;31.565607
Netherlands;5.613491;51.972466
Netherlands;4.9;52.378
<null>;0;0
France;2.264993;48.520702
<null>;0;0
New Zealand;172.63503;-43.533516
<null>;0;0
United States;-86.017118;39.956842
Italy;12.646361;42.504154
<null>;0;0
Japan;139.692526;35.68882
Uruguay;-56.012396;-32.799646
Brazil;-46.647198;-23.55214
Germany;9.17742;48.77353
Germany;6.773766;51.22615
Germany;10.018343;51.133481
United States;-84.389855;33.750801
<null>;0;0
<null>;0;0
United States;-78.900646;35.995039
<null>;0;0
United States;-123.237379;44.848551
<null>;0;0
<null>;0;0
Netherlands;4.357397;52.01155
<null>;0;0
Argentina;-58.437089;-34.607568
United States;-122.379609;47.811406
<null>;0;0
<null>;0;0
<null>;0;0
Norway;10.73897;59.91333
Greece;22.944689;40.633987
United States;-73.9497;40.6526
United States;-82.457098;27.947974
Türkiye;28.9661;41.009043
Georgia;44.80145;41.693459
United States;-111.6025;39.254817
United States;-81.379039;28.54211
<null>;0;0
Ukraine;31.320283;49.322794
Israel;34.841999;31.847261
<null>;0;0
United States;-122.330286;47.603243
<null>;0;0
United States;-97.742806;30.268072
South Korea;128.168944;36.536236
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
South Korea;128.168944;36.536236
<null>;0;0
<null>;0;0
<null>;0;0
United States;-74.005994;40.712749
Netherlands;5.613491;51.972466
Greece;23.828554;38.589021
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Hungary;19.499349;47.060267
<null>;0;0
China;101.901875;35.486703
South Korea;128.168944;36.536236
Norway;10.397414;63.432697
Brazil;-51.619789;-9.588903
Germany;6.085183;50.775723
Austria;14.300144;47.607798
<null>;0;0
<null>;0;0
Russia;37.617494;55.750446
Poland;15.50632;51.939774
<null>;0;0
India;78.476681;22.199166
Vietnam;106.404754;10.535965
<null>;0;0
United States;-97.922211;39.381266
France;2.618787;47.824905
Türkiye;28.9661;41.009043
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
<null>;0;0
Romania;28.651758;44.17856
Thailand;100.493509;13.752494
South Korea;126.978291;37.566679
France;2.618787;47.824905
<null>;0;0
<null>;0;0
India;76.2428;9.966457
<null>;0;0
Canada;-71.20278;46.812187
Brazil;-46.647198;-23.55214
Nepal;87.2778;26.456118
Bulgaria;27.914743;43.206253
Tunisia;9.561168;34.110704
<null>;0;0
Ukraine;30.524136;50.450034
United States;-97.922211;39.381266
Argentina;-63.954193;-36.252002
<null>;0;0
Japan;138.59223;36.386493
<null>;0;0
South Korea;128.168944;36.536236
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
India;78.680852;11.390899
<null>;0;0
United States;-98.822319;31.803973
<null>;0;0
United States;-97.922211;39.381266
<null>;0;0
Italy;12.646361;42.504154
<null>;0;0
<null>;0;0
Finland;23.509745;61.478096
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Belgium;4.633575;50.438696
Austria;14.300144;47.607798
<null>;0;0
<null>;0;0
<null>;0;0
Belarus;28.046788;53.539998
Ukraine;31.320283;49.322794
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Thailand;101.017438;15.127333
Taiwan;121.563579;25.037527
<null>;0;0
Thailand;101.017438;15.127333
Japan;138.59223;36.386493
Malaysia;102.27572;4.496643
<null>;0;0
<null>;0;0
<null>;0;0
Mexico;-102.532867;23.950464
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Bosnia and Herzegovina;18.38529;43.85251
<null>;0;0
Vietnam;106.701756;10.775844
<null>;0;0
Indonesia;106.827216;-6.175554
Czech Republic;15.338412;49.742859
<null>;0;0
United States;-86.284608;39.918408
Türkiye;35.179593;39.060481
<null>;0;0
Croatia;16.438787;43.508186
<null>;0;0
Sri Lanka;80.214955;6.032814
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
Portugal;-8.562731;39.600995
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
France;2.618787;47.824905
<null>;0;0
Poland;19.300636;52.12461
Ukraine;28.669235;50.25983
France;-0.570681;44.840115
<null>;0;0
<null>;0;0
Türkiye;30.707455;36.887294
<null>;0;0
United States;-82.03363;28.944465
<null>;0;0
Taiwan;121.301;24.993
Nepal;85.42902;27.672186
Bulgaria;25.231507;42.761377
Israel;34.999767;32.81865
United Kingdom;-2.36967;54.237933
Indonesia;106.827216;-6.175554
Italy;12.646361;42.504154
United States;-122.330286;47.603243
<null>;0;0
Germany;10.018343;51.133481
<null>;0;0
<null>;0;0
<null>;0;0
Israel;34.841999;31.847261
<null>;0;0
Egypt;30.998955;30.791874
Poland;17.03056;51.11029
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Poland;21.016317;52.23072
<null>;0;0
Vietnam;108.339537;14.315424
Germany;8.806355;53.075363
<null>;0;0
Serbia;20.456897;44.817813
<null>;0;0
<null>;0;0
Türkiye;35.179593;39.060481
<null>;0;0
<null>;0;0
Taiwan;120.930229;23.777978
United States;-123.805934;39.445505
United States;-116.998155;32.794448
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
China;113.270059;23.125345
<null>;0;0
<null>;0;0
Philippines;120.981779;14.586788
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Ukraine;31.320283;49.322794
<null>;0;0
<null>;0;0
Taiwan;120.930229;23.777978
Vietnam;105.79111;21.0293
<null>;0;0
<null>;0;0
<null>;0;0
Brazil;-40.29169;-20.335112
Ukraine;31.320283;49.322794
Tunisia;10.605082;35.804617
Thailand;100.493509;13.752494
Finland;26.199539;62.777754
<null>;0;0
Ukraine;31.320283;49.322794
<null>;0;0
United Kingdom;-1.149646;52.953419
Mozambique;32.46729;-25.967094
<null>;0;0
Japan;139.379733;36.289176
<null>;0;0
Indonesia;106.827216;-6.175554
<null>;0;0
<null>;0;0
Israel;34.841999;31.847261
<null>;0;0
<null>;0;0
Thailand;101.017438;15.127333
<null>;0;0
Luxembourg;6.087814;49.770628
<null>;0;0
<null>;0;0
<null>;0;0
Indonesia;106.827216;-6.175554
<null>;0;0
Canada;-84.253981;49.451564
Sweden;18.06902;59.324337
<null>;0;0
Romania;24.969258;45.843615
Chile;-72.75293;-38.7661
<null>;0;0
Vietnam;106.802542;10.871363
Italy;12.646361;42.504154
United States;-97.922211;39.381266
Germany;9.653641;48.702
Greece;23.828554;38.589021
United Kingdom;-2.36967;54.237933
Argentina;-58.437089;-34.607568
<null>;0;0
Mexico;-102.532867;23.950464
United States;-84.354452;33.52262
Mexico;-102.532867;23.950464
<null>;0;0
Spain;-4.055685;41.294856
<null>;0;0
Spain;2.177432;41.382894
<null>;0;0
Malaysia;102.27572;4.496643
<null>;0;0
United States;-104.830668;39.740328
Türkiye;35.179593;39.060481
<null>;0;0
<null>;0;0
<null>;0;0
United States;-71.960326;42.32047
Bosnia and Herzegovina;18.38529;43.85251
Spain;-8.115759;42.660828
United States;-72.726243;41.626142
Israel;34.841999;31.847261
Austria;14.300144;47.607798
Belgium;4.443624;50.412033
Ukraine;31.320283;49.322794
Poland;19.300636;52.12461
<null>;0;0
Germany;13.738695;51.049072
<null>;0;0
Poland;19.041336;50.388355
<null>;0;0
<null>;0;0
Indonesia;106.827216;-6.175554
<null>;0;0
France;2.618787;47.824905
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Sweden;17.675409;64.964875
Germany;12.074604;48.81354
Germany;10.018343;51.133481
Peru;-75.311132;-10.151093
<null>;0;0
<null>;0;0
<null>;0;0
Croatia;15.976789;45.813778
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Thailand;101.017438;15.127333
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
India;78.476681;22.199166
United States;-83.748499;42.281424
Brazil;-48.626534;-27.615065
Slovenia;14.506929;46.050027
<null>;0;0
Slovakia;19.491651;48.707531
Egypt;31.241106;30.047558
Brazil;-43.209934;-22.909534
<null>;0;0
United States;-97.05652;29.438768
<null>;0;0
<null>;0;0
<null>;0;0
Indonesia;106.827216;-6.175554
Brazil;-48.626534;-27.615065
Malaysia;101.694237;3.151696
Italy;12.646361;42.504154
Brazil;-35.20793;-5.805455
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Taiwan;120.930229;23.777978
United States;-122.330286;47.603243
Chile;-69.761008;-26.783346
<null>;0;0
Germany;13.38886;52.517037
Germany;13.38886;52.517037
<null>;0;0
<null>;0;0
<null>;0;0
Romania;21.228022;45.757526
United Kingdom;-1.258646;51.75355
Czech Republic;14.422954;50.08584
Hungary;18.82282;47.474216
Finland;23.757025;61.4981
<null>;0;0
Belgium;3.725012;51.053829
Germany;13.38886;52.517037
Portugal;-8.611286;41.14789
<null>;0;0
Germany;13.38886;52.517037
Germany;13.38886;52.517037
Germany;7.220008;51.481731
<null>;0;0
<null>;0;0
<null>;0;0
<null>;0;0
Germany;13.38886;52.517037
<null>;0;0
Germany;13.38886;52.517037
<null>;0;0
<null>;0;0
Germany;13.38886;52.517037
Germany;13.38886;52.517037
Germany;13.38886;52.517037
Germany;13.38886;52.517037
Germany;12.095035;49.02017
Finland;26.199539;62.777754
Germany;13.38886;52.517037
<null>;0;0
India;72.87872;19.077793
<null>;0;0
Germany;13.38886;52.517037
